哈TV有线,#genre#
公用頻道(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_3_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
地方新聞(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_4_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
民視(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_5_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
CNN International(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_6_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
台視(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_7_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
人間衛視(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_8_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
中視(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_9_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
大愛(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_10_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
華視(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_11_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
動物星球(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_12_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
公視(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_13_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
公視台語台(公視2台)(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_14_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
好消息衛星電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_15_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
原住民族電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_16_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
客家電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_17_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
BBC Earth(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_18_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
DISCOVERY(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_19_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
中台灣生活網(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_20_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
旅遊生活(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_21_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
卡通頻道(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_22_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
CARTOONITO,http://58.99.33.2:1935/liveedge4/ywYSMkid_23_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
MOMO親子台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_24_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
